Diameter(nm)    dN/dlogD * 1e-3 (cm^-3/nm)
    0.2030937985E+04       0.0000000000E+00
    0.2094257096E+04       0.0000000000E+00
    0.2159550325E+04       0.0000000000E+00
    0.2226879218E+04       0.0000000000E+00
    0.2296307243E+04       0.0000000000E+00
    0.2367899844E+04       0.0000000000E+00
    0.2441724508E+04       0.0000000000E+00
    0.2517850824E+04       0.0000000000E+00
    0.2596350550E+04       0.0000000000E+00
    0.2677297684E+04       0.0000000000E+00
    0.2760768529E+04       0.0000000000E+00
    0.2846841768E+04       0.0000000000E+00
    0.2935598535E+04       0.0000000000E+00
    0.3027122497E+04       0.0000000000E+00
    0.3121499926E+04       0.0000000000E+00
    0.3218819787E+04       0.0000000000E+00
    0.3319173815E+04       0.0000000000E+00
    0.3422656608E+04       0.0000000000E+00
    0.3529365713E+04       0.0000000000E+00
    0.3639401717E+04       0.0000000000E+00
    0.3752868344E+04       0.0000000000E+00
    0.3869872551E+04       0.0000000000E+00
    0.3990524630E+04       0.0000000000E+00
    0.4114938312E+04       0.0000000000E+00
    0.4243230874E+04       0.0000000000E+00
    0.4375523248E+04       0.0000000000E+00
    0.4511940138E+04       0.0000000000E+00
    0.4652610134E+04       0.0000000000E+00
    0.4797665838E+04       0.0000000000E+00
    0.4947243983E+04       0.0000000000E+00
    0.5101485567E+04       0.0000000000E+00
    0.5260535984E+04       0.8929816334-272
    0.5424545159E+04       0.1878511075-249
    0.5593667693E+04       0.7942241917-230
    0.5768063006E+04       0.2964601978-212
    0.5947895490E+04       0.2265644760-196
    0.6133334661E+04       0.6330447488-182
    0.6324555320E+04       0.1002778417-168
    0.6521737718E+04       0.1281254648-156
    0.6725067726E+04       0.1777174071-145
    0.6934737009E+04       0.3459509865-135
    0.7150943209E+04       0.1175563713-125
    0.7373890129E+04       0.8302689258-117
    0.7603787926E+04       0.1392798517-108
    0.7840853311E+04       0.6173999247-101
    0.8085309747E+04       0.7948482108E-94
    0.8337387669E+04       0.3249602475E-87
    0.8597324694E+04       0.4594489060E-81
    0.8865365847E+04       0.2434643944E-75
    0.9141763792E+04       0.5211151594E-70
    0.9426779072E+04       0.4827349657E-65
    0.9720680352E+04       0.2061851104E-60
    0.1002374467E+05       0.4302648317E-56
    0.1033625771E+05       0.4625260793E-52
    0.1065851406E+05       0.2688233670E-48
    0.1099081748E+05       0.8829306347E-45
    0.1133348121E+05       0.1706325072E-41
    0.1168682827E+05       0.2013311859E-38
    0.1205119172E+05       0.1500144640E-35
    0.1242691503E+05       0.7279857561E-33
    0.1281435238E+05       0.2366554956E-30
    0.1321386896E+05       0.5287964388E-28
    0.1362584138E+05       0.8314575059E-26
    0.1405065798E+05       0.9399022160E-24
    0.1448871920E+05       0.7789602171E-22
    0.1494043798E+05       0.4818328787E-20
    0.1540624012E+05       0.2261057610E-18
    0.1588656469E+05       0.8170258247E-17
    0.1638186448E+05       0.2304575914E-15
    0.1689260637E+05       0.5138067547E-14
    0.1741927180E+05       0.9158695415E-13
    0.1796235722E+05       0.1319037293E-11
    0.1852237456E+05       0.1549772098E-10
    0.1909985172E+05       0.1498759993E-09
    0.1969533304E+05       0.1202861570E-08
    0.2030937985E+05       0.8072541860E-08
    0.2094257096E+05       0.4561994602E-07
    0.2159550325E+05       0.2184987018E-06
    0.2226879218E+05       0.8921926754E-06
    0.2296307243E+05       0.3122543307E-05
    0.2367899844E+05       0.9414212860E-05
    0.2441724508E+05       0.2531738153E-04
    0.2517850824E+05       0.7879070839E-04
    0.2596350550E+05       0.6390459609E-03
    0.2677297684E+05       0.5430895384E-02
    0.2760768529E+05       0.1765103476E-01
    0.2846841768E+05       0.3344161736E-01
    0.2935598535E+05       0.4328574388E-01
    0.3027122497E+05       0.4016401583E-01
    0.3121499926E+05       0.2672707250E-01
    0.3218819787E+05       0.1237265302E-01
    0.3319173815E+05       0.3795262259E-02
    0.3422656608E+05       0.8630591581E-03
    0.3529365713E+05       0.3015755187E-03
    0.3639401717E+05       0.2045380290E-03
    0.3752868344E+05       0.1668013843E-03
    0.3869872551E+05       0.1206553857E-03
    0.3990524630E+05       0.8018249723E-04
    0.4114938312E+05       0.5865318956E-04
    0.4243230874E+05       0.4887610223E-04
    0.4375523248E+05       0.4196069674E-04
    0.4511940138E+05       0.3578281687E-04
    0.4652610134E+05       0.3109979627E-04
    0.4797665838E+05       0.2751337318E-04
    0.4947243983E+05       0.2446485705E-04
    0.5101485567E+05       0.2190162119E-04
    0.5260535984E+05       0.1971352911E-04
    0.5424545159E+05       0.1779216724E-04
    0.5593667693E+05       0.1608118897E-04
    0.5768063006E+05       0.1454900590E-04
