Time(s)   w(m/s)         T(K)        p(Pa)       z(m)    RH(%)  Activated Drops
   1.00     1.00       299.99    102388.34       1.00    50.60       0.0000E+00
   2.00     1.00       299.98    102376.68       2.00    50.62       0.0000E+00
   3.00     1.00       299.97    102365.02       3.00    50.65       0.0000E+00
   4.00     1.00       299.96    102353.36       4.00    50.67       0.0000E+00
   5.00     1.00       299.95    102341.71       5.00    50.69       0.0000E+00
   6.00     1.00       299.94    102330.05       6.00    50.72       0.0000E+00
   7.00     1.00       299.93    102318.39       7.00    50.74       0.0000E+00
   8.00     1.00       299.92    102306.74       8.00    50.76       0.0000E+00
   9.00     1.00       299.91    102295.09       9.00    50.79       0.0000E+00
  10.00     1.00       299.90    102283.43      10.00    50.81       0.0000E+00
  11.00     1.00       299.89    102271.78      11.00    50.83       0.0000E+00
  12.00     1.00       299.88    102260.13      12.00    50.86       0.0000E+00
  13.00     1.00       299.87    102248.48      13.00    50.88       0.0000E+00
  14.00     1.00       299.86    102236.83      14.00    50.90       0.0000E+00
  15.00     1.00       299.85    102225.19      15.00    50.93       0.0000E+00
  16.00     1.00       299.84    102213.54      16.00    50.95       0.0000E+00
  17.00     1.00       299.83    102201.89      17.00    50.97       0.0000E+00
  18.00     1.00       299.82    102190.25      18.00    51.00       0.0000E+00
  19.00     1.00       299.81    102178.61      19.00    51.02       0.0000E+00
  20.00     1.00       299.80    102166.96      20.00    51.04       0.0000E+00
  21.00     1.00       299.80    102155.32      21.00    51.07       0.0000E+00
  22.00     1.00       299.79    102143.68      22.00    51.09       0.0000E+00
  23.00     1.00       299.78    102132.04      23.00    51.11       0.0000E+00
  24.00     1.00       299.77    102120.40      24.00    51.14       0.0000E+00
  25.00     1.00       299.76    102108.76      25.00    51.16       0.0000E+00
  26.00     1.00       299.75    102097.13      26.00    51.19       0.0000E+00
  27.00     1.00       299.74    102085.49      27.00    51.21       0.0000E+00
  28.00     1.00       299.73    102073.86      28.00    51.23       0.0000E+00
  29.00     1.00       299.72    102062.22      29.00    51.26       0.0000E+00
  30.00     1.00       299.71    102050.59      30.00    51.28       0.0000E+00
  31.00     1.00       299.70    102038.95      31.00    51.30       0.0000E+00
  32.00     1.00       299.69    102027.32      32.00    51.33       0.0000E+00
  33.00     1.00       299.68    102015.69      33.00    51.35       0.0000E+00
  34.00     1.00       299.67    102004.06      34.00    51.37       0.0000E+00
  35.00     1.00       299.66    101992.43      35.00    51.40       0.0000E+00
  36.00     1.00       299.65    101980.81      36.00    51.42       0.0000E+00
  37.00     1.00       299.64    101969.18      37.00    51.45       0.0000E+00
  38.00     1.00       299.63    101957.55      38.00    51.47       0.0000E+00
  39.00     1.00       299.62    101945.93      39.00    51.49       0.0000E+00
  40.00     1.00       299.61    101934.31      40.00    51.52       0.0000E+00
  41.00     1.00       299.60    101922.68      41.00    51.54       0.0000E+00
  42.00     1.00       299.59    101911.06      42.00    51.56       0.0000E+00
  43.00     1.00       299.58    101899.44      43.00    51.59       0.0000E+00
  44.00     1.00       299.57    101887.82      44.00    51.61       0.0000E+00
  45.00     1.00       299.56    101876.20      45.00    51.64       0.0000E+00
  46.00     1.00       299.55    101864.58      46.00    51.66       0.0000E+00
  47.00     1.00       299.54    101852.97      47.00    51.68       0.0000E+00
  48.00     1.00       299.53    101841.35      48.00    51.71       0.0000E+00
  49.00     1.00       299.52    101829.73      49.00    51.73       0.0000E+00
  50.00     1.00       299.51    101818.12      50.00    51.76       0.0000E+00
  51.00     1.00       299.50    101806.51      51.00    51.78       0.0000E+00
  52.00     1.00       299.49    101794.89      52.00    51.80       0.0000E+00
  53.00     1.00       299.48    101783.28      53.00    51.83       0.0000E+00
  54.00     1.00       299.47    101771.67      54.00    51.85       0.0000E+00
  55.00     1.00       299.46    101760.06      55.00    51.88       0.0000E+00
  56.00     1.00       299.45    101748.45      56.00    51.90       0.0000E+00
  57.00     1.00       299.44    101736.84      57.00    51.92       0.0000E+00
  58.00     1.00       299.43    101725.24      58.00    51.95       0.0000E+00
  59.00     1.00       299.42    101713.63      59.00    51.97       0.0000E+00
  60.00     1.00       299.41    101702.03      60.00    52.00       0.0000E+00
  61.00     1.00       299.40    101690.42      61.00    52.02       0.0000E+00
  62.00     1.00       299.40    101678.82      62.00    52.04       0.0000E+00
  63.00     1.00       299.39    101667.22      63.00    52.07       0.0000E+00
  64.00     1.00       299.38    101655.62      64.00    52.09       0.0000E+00
  65.00     1.00       299.37    101644.02      65.00    52.12       0.0000E+00
  66.00     1.00       299.36    101632.42      66.00    52.14       0.0000E+00
  67.00     1.00       299.35    101620.82      67.00    52.16       0.0000E+00
  68.00     1.00       299.34    101609.22      68.00    52.19       0.0000E+00
  69.00     1.00       299.33    101597.63      69.00    52.21       0.0000E+00
  70.00     1.00       299.32    101586.03      70.00    52.24       0.0000E+00
  71.00     1.00       299.31    101574.44      71.00    52.26       0.0000E+00
  72.00     1.00       299.30    101562.84      72.00    52.29       0.0000E+00
  73.00     1.00       299.29    101551.25      73.00    52.31       0.0000E+00
  74.00     1.00       299.28    101539.66      74.00    52.33       0.0000E+00
  75.00     1.00       299.27    101528.07      75.00    52.36       0.0000E+00
  76.00     1.00       299.26    101516.48      76.00    52.38       0.0000E+00
  77.00     1.00       299.25    101504.89      77.00    52.41       0.0000E+00
  78.00     1.00       299.24    101493.30      78.00    52.43       0.0000E+00
  79.00     1.00       299.23    101481.71      79.00    52.46       0.0000E+00
  80.00     1.00       299.22    101470.13      80.00    52.48       0.0000E+00
  81.00     1.00       299.21    101458.54      81.00    52.50       0.0000E+00
  82.00     1.00       299.20    101446.96      82.00    52.53       0.0000E+00
  83.00     1.00       299.19    101435.37      83.00    52.55       0.0000E+00
  84.00     1.00       299.18    101423.79      84.00    52.58       0.0000E+00
  85.00     1.00       299.17    101412.21      85.00    52.60       0.0000E+00
  86.00     1.00       299.16    101400.63      86.00    52.63       0.0000E+00
  87.00     1.00       299.15    101389.05      87.00    52.65       0.0000E+00
  88.00     1.00       299.14    101377.47      88.00    52.67       0.0000E+00
  89.00     1.00       299.13    101365.90      89.00    52.70       0.0000E+00
  90.00     1.00       299.12    101354.32      90.00    52.72       0.0000E+00
  91.00     1.00       299.11    101342.74      91.00    52.75       0.0000E+00
  92.00     1.00       299.10    101331.17      92.00    52.77       0.0000E+00
  93.00     1.00       299.09    101319.59      93.00    52.80       0.0000E+00
  94.00     1.00       299.08    101308.02      94.00    52.82       0.0000E+00
  95.00     1.00       299.07    101296.45      95.00    52.85       0.0000E+00
  96.00     1.00       299.06    101284.88      96.00    52.87       0.0000E+00
  97.00     1.00       299.05    101273.31      97.00    52.90       0.0000E+00
  98.00     1.00       299.04    101261.74      98.00    52.92       0.0000E+00
  99.00     1.00       299.03    101250.17      99.00    52.94       0.0000E+00
 100.00     1.00       299.02    101238.60     100.00    52.97       0.0000E+00
 101.00     1.00       299.01    101227.04     101.00    52.99       0.0000E+00
 102.00     1.00       299.00    101215.47     102.00    53.02       0.0000E+00
 103.00     1.00       298.99    101203.91     103.00    53.04       0.0000E+00
 104.00     1.00       298.99    101192.35     104.00    53.07       0.0000E+00
 105.00     1.00       298.98    101180.78     105.00    53.09       0.0000E+00
 106.00     1.00       298.97    101169.22     106.00    53.12       0.0000E+00
 107.00     1.00       298.96    101157.66     107.00    53.14       0.0000E+00
 108.00     1.00       298.95    101146.10     108.00    53.17       0.0000E+00
 109.00     1.00       298.94    101134.54     109.00    53.19       0.0000E+00
 110.00     1.00       298.93    101122.99     110.00    53.22       0.0000E+00
 111.00     1.00       298.92    101111.43     111.00    53.24       0.0000E+00
 112.00     1.00       298.91    101099.87     112.00    53.27       0.0000E+00
 113.00     1.00       298.90    101088.32     113.00    53.29       0.0000E+00
 114.00     1.00       298.89    101076.76     114.00    53.31       0.0000E+00
 115.00     1.00       298.88    101065.21     115.00    53.34       0.0000E+00
 116.00     1.00       298.87    101053.66     116.00    53.36       0.0000E+00
 117.00     1.00       298.86    101042.11     117.00    53.39       0.0000E+00
 118.00     1.00       298.85    101030.56     118.00    53.41       0.0000E+00
 119.00     1.00       298.84    101019.01     119.00    53.44       0.0000E+00
 120.00     1.00       298.83    101007.46     120.00    53.46       0.0000E+00
 121.00     1.00       298.82    100995.91     121.00    53.49       0.0000E+00
 122.00     1.00       298.81    100984.37     122.00    53.51       0.0000E+00
 123.00     1.00       298.80    100972.82     123.00    53.54       0.0000E+00
 124.00     1.00       298.79    100961.28     124.00    53.56       0.0000E+00
 125.00     1.00       298.78    100949.73     125.00    53.59       0.0000E+00
 126.00     1.00       298.77    100938.19     126.00    53.61       0.0000E+00
 127.00     1.00       298.76    100926.65     127.00    53.64       0.0000E+00
 128.00     1.00       298.75    100915.11     128.00    53.66       0.0000E+00
 129.00     1.00       298.74    100903.57     129.00    53.69       0.0000E+00
 130.00     1.00       298.73    100892.03     130.00    53.71       0.0000E+00
 131.00     1.00       298.72    100880.49     131.00    53.74       0.0000E+00
 132.00     1.00       298.71    100868.95     132.00    53.76       0.0000E+00
 133.00     1.00       298.70    100857.42     133.00    53.79       0.0000E+00
 134.00     1.00       298.69    100845.88     134.00    53.81       0.0000E+00
 135.00     1.00       298.68    100834.35     135.00    53.84       0.0000E+00
 136.00     1.00       298.67    100822.82     136.00    53.86       0.0000E+00
 137.00     1.00       298.66    100811.28     137.00    53.89       0.0000E+00
 138.00     1.00       298.65    100799.75     138.00    53.91       0.0000E+00
 139.00     1.00       298.64    100788.22     139.00    53.94       0.0000E+00
 140.00     1.00       298.63    100776.69     140.00    53.96       0.0000E+00
 141.00     1.00       298.62    100765.16     141.00    53.99       0.0000E+00
 142.00     1.00       298.61    100753.64     142.00    54.01       0.0000E+00
 143.00     1.00       298.60    100742.11     143.00    54.04       0.0000E+00
 144.00     1.00       298.59    100730.58     144.00    54.06       0.0000E+00
 145.00     1.00       298.59    100719.06     145.00    54.09       0.0000E+00
 146.00     1.00       298.58    100707.54     146.00    54.11       0.0000E+00
 147.00     1.00       298.57    100696.01     147.00    54.14       0.0000E+00
 148.00     1.00       298.56    100684.49     148.00    54.17       0.0000E+00
 149.00     1.00       298.55    100672.97     149.00    54.19       0.0000E+00
 150.00     1.00       298.54    100661.45     150.00    54.22       0.0000E+00
 151.00     1.00       298.53    100649.93     151.00    54.24       0.0000E+00
 152.00     1.00       298.52    100638.41     152.00    54.27       0.0000E+00
 153.00     1.00       298.51    100626.90     153.00    54.29       0.0000E+00
 154.00     1.00       298.50    100615.38     154.00    54.32       0.0000E+00
 155.00     1.00       298.49    100603.86     155.00    54.34       0.0000E+00
 156.00     1.00       298.48    100592.35     156.00    54.37       0.0000E+00
 157.00     1.00       298.47    100580.84     157.00    54.39       0.0000E+00
 158.00     1.00       298.46    100569.32     158.00    54.42       0.0000E+00
 159.00     1.00       298.45    100557.81     159.00    54.44       0.0000E+00
 160.00     1.00       298.44    100546.30     160.00    54.47       0.0000E+00
 161.00     1.00       298.43    100534.79     161.00    54.49       0.0000E+00
 162.00     1.00       298.42    100523.28     162.00    54.52       0.0000E+00
 163.00     1.00       298.41    100511.78     163.00    54.55       0.0000E+00
 164.00     1.00       298.40    100500.27     164.00    54.57       0.0000E+00
 165.00     1.00       298.39    100488.76     165.00    54.60       0.0000E+00
 166.00     1.00       298.38    100477.26     166.00    54.62       0.0000E+00
 167.00     1.00       298.37    100465.75     167.00    54.65       0.0000E+00
 168.00     1.00       298.36    100454.25     168.00    54.67       0.0000E+00
 169.00     1.00       298.35    100442.75     169.00    54.70       0.0000E+00
 170.00     1.00       298.34    100431.25     170.00    54.72       0.0000E+00
 171.00     1.00       298.33    100419.75     171.00    54.75       0.0000E+00
 172.00     1.00       298.32    100408.25     172.00    54.78       0.0000E+00
 173.00     1.00       298.31    100396.75     173.00    54.80       0.0000E+00
 174.00     1.00       298.30    100385.25     174.00    54.83       0.0000E+00
 175.00     1.00       298.29    100373.76     175.00    54.85       0.0000E+00
 176.00     1.00       298.28    100362.26     176.00    54.88       0.0000E+00
 177.00     1.00       298.27    100350.77     177.00    54.90       0.0000E+00
 178.00     1.00       298.26    100339.27     178.00    54.93       0.0000E+00
 179.00     1.00       298.25    100327.78     179.00    54.95       0.0000E+00
 180.00     1.00       298.24    100316.29     180.00    54.98       0.0000E+00
 181.00     1.00       298.23    100304.80     181.00    55.01       0.0000E+00
 182.00     1.00       298.22    100293.31     182.00    55.03       0.0000E+00
 183.00     1.00       298.21    100281.82     183.00    55.06       0.0000E+00
 184.00     1.00       298.20    100270.33     184.00    55.08       0.0000E+00
 185.00     1.00       298.19    100258.84     185.00    55.11       0.0000E+00
 186.00     1.00       298.19    100247.36     186.00    55.13       0.0000E+00
 187.00     1.00       298.18    100235.87     187.00    55.16       0.0000E+00
 188.00     1.00       298.17    100224.39     188.00    55.19       0.0000E+00
 189.00     1.00       298.16    100212.90     189.00    55.21       0.0000E+00
 190.00     1.00       298.15    100201.42     190.00    55.24       0.0000E+00
 191.00     1.00       298.14    100189.94     191.00    55.26       0.0000E+00
 192.00     1.00       298.13    100178.46     192.00    55.29       0.0000E+00
 193.00     1.00       298.12    100166.98     193.00    55.32       0.0000E+00
 194.00     1.00       298.11    100155.50     194.00    55.34       0.0000E+00
 195.00     1.00       298.10    100144.02     195.00    55.37       0.0000E+00
 196.00     1.00       298.09    100132.55     196.00    55.39       0.0000E+00
 197.00     1.00       298.08    100121.07     197.00    55.42       0.0000E+00
 198.00     1.00       298.07    100109.60     198.00    55.45       0.0000E+00
 199.00     1.00       298.06    100098.12     199.00    55.47       0.0000E+00
 200.00     1.00       298.05    100086.65     200.00    55.50       0.0000E+00
 201.00     1.00       298.04    100075.18     201.00    55.52       0.0000E+00
 202.00     1.00       298.03    100063.71     202.00    55.55       0.0000E+00
 203.00     1.00       298.02    100052.24     203.00    55.58       0.0000E+00
 204.00     1.00       298.01    100040.77     204.00    55.60       0.0000E+00
 205.00     1.00       298.00    100029.30     205.00    55.63       0.0000E+00
 206.00     1.00       297.99    100017.83     206.00    55.65       0.0000E+00
 207.00     1.00       297.98    100006.37     207.00    55.68       0.0000E+00
 208.00     1.00       297.97     99994.90     208.00    55.71       0.0000E+00
 209.00     1.00       297.96     99983.44     209.00    55.73       0.0000E+00
 210.00     1.00       297.95     99971.97     210.00    55.76       0.0000E+00
 211.00     1.00       297.94     99960.51     211.00    55.78       0.0000E+00
 212.00     1.00       297.93     99949.05     212.00    55.81       0.0000E+00
 213.00     1.00       297.92     99937.59     213.00    55.84       0.0000E+00
 214.00     1.00       297.91     99926.13     214.00    55.86       0.0000E+00
 215.00     1.00       297.90     99914.67     215.00    55.89       0.0000E+00
 216.00     1.00       297.89     99903.21     216.00    55.91       0.0000E+00
 217.00     1.00       297.88     99891.75     217.00    55.94       0.0000E+00
 218.00     1.00       297.87     99880.30     218.00    55.97       0.0000E+00
 219.00     1.00       297.86     99868.84     219.00    55.99       0.0000E+00
 220.00     1.00       297.85     99857.39     220.00    56.02       0.0000E+00
 221.00     1.00       297.84     99845.93     221.00    56.05       0.0000E+00
 222.00     1.00       297.83     99834.48     222.00    56.07       0.0000E+00
 223.00     1.00       297.82     99823.03     223.00    56.10       0.0000E+00
 224.00     1.00       297.81     99811.58     224.00    56.12       0.0000E+00
 225.00     1.00       297.80     99800.13     225.00    56.15       0.0000E+00
 226.00     1.00       297.79     99788.68     226.00    56.18       0.0000E+00
 227.00     1.00       297.78     99777.23     227.00    56.20       0.0000E+00
 228.00     1.00       297.78     99765.79     228.00    56.23       0.0000E+00
 229.00     1.00       297.77     99754.34     229.00    56.26       0.0000E+00
 230.00     1.00       297.76     99742.90     230.00    56.28       0.0000E+00
 231.00     1.00       297.75     99731.45     231.00    56.31       0.0000E+00
 232.00     1.00       297.74     99720.01     232.00    56.34       0.0000E+00
 233.00     1.00       297.73     99708.57     233.00    56.36       0.0000E+00
 234.00     1.00       297.72     99697.13     234.00    56.39       0.0000E+00
 235.00     1.00       297.71     99685.69     235.00    56.42       0.0000E+00
 236.00     1.00       297.70     99674.25     236.00    56.44       0.0000E+00
 237.00     1.00       297.69     99662.81     237.00    56.47       0.0000E+00
 238.00     1.00       297.68     99651.37     238.00    56.49       0.0000E+00
 239.00     1.00       297.67     99639.94     239.00    56.52       0.0000E+00
 240.00     1.00       297.66     99628.50     240.00    56.55       0.0000E+00
 241.00     1.00       297.65     99617.07     241.00    56.57       0.0000E+00
 242.00     1.00       297.64     99605.63     242.00    56.60       0.0000E+00
 243.00     1.00       297.63     99594.20     243.00    56.63       0.0000E+00
 244.00     1.00       297.62     99582.77     244.00    56.65       0.0000E+00
 245.00     1.00       297.61     99571.34     245.00    56.68       0.0000E+00
 246.00     1.00       297.60     99559.91     246.00    56.71       0.0000E+00
 247.00     1.00       297.59     99548.48     247.00    56.73       0.0000E+00
 248.00     1.00       297.58     99537.05     248.00    56.76       0.0000E+00
 249.00     1.00       297.57     99525.62     249.00    56.79       0.0000E+00
 250.00     1.00       297.56     99514.20     250.00    56.81       0.0000E+00
 251.00     1.00       297.55     99502.77     251.00    56.84       0.0000E+00
 252.00     1.00       297.54     99491.35     252.00    56.87       0.0000E+00
 253.00     1.00       297.53     99479.93     253.00    56.89       0.0000E+00
 254.00     1.00       297.52     99468.50     254.00    56.92       0.0000E+00
 255.00     1.00       297.51     99457.08     255.00    56.95       0.0000E+00
 256.00     1.00       297.50     99445.66     256.00    56.97       0.0000E+00
 257.00     1.00       297.49     99434.24     257.00    57.00       0.0000E+00
 258.00     1.00       297.48     99422.82     258.00    57.03       0.0000E+00
 259.00     1.00       297.47     99411.41     259.00    57.06       0.0000E+00
 260.00     1.00       297.46     99399.99     260.00    57.08       0.0000E+00
 261.00     1.00       297.45     99388.57     261.00    57.11       0.0000E+00
 262.00     1.00       297.44     99377.16     262.00    57.14       0.0000E+00
 263.00     1.00       297.43     99365.74     263.00    57.16       0.0000E+00
 264.00     1.00       297.42     99354.33     264.00    57.19       0.0000E+00
 265.00     1.00       297.41     99342.92     265.00    57.22       0.0000E+00
 266.00     1.00       297.40     99331.51     266.00    57.24       0.0000E+00
 267.00     1.00       297.39     99320.10     267.00    57.27       0.0000E+00
 268.00     1.00       297.38     99308.69     268.00    57.30       0.0000E+00
 269.00     1.00       297.38     99297.28     269.00    57.32       0.0000E+00
 270.00     1.00       297.37     99285.87     270.00    57.35       0.0000E+00
 271.00     1.00       297.36     99274.47     271.00    57.38       0.0000E+00
 272.00     1.00       297.35     99263.06     272.00    57.41       0.0000E+00
 273.00     1.00       297.34     99251.66     273.00    57.43       0.0000E+00
 274.00     1.00       297.33     99240.25     274.00    57.46       0.0000E+00
 275.00     1.00       297.32     99228.85     275.00    57.49       0.0000E+00
 276.00     1.00       297.31     99217.45     276.00    57.51       0.0000E+00
 277.00     1.00       297.30     99206.05     277.00    57.54       0.0000E+00
 278.00     1.00       297.29     99194.65     278.00    57.57       0.0000E+00
 279.00     1.00       297.28     99183.25     279.00    57.60       0.0000E+00
 280.00     1.00       297.27     99171.85     280.00    57.62       0.0000E+00
 281.00     1.00       297.26     99160.45     281.00    57.65       0.0000E+00
 282.00     1.00       297.25     99149.06     282.00    57.68       0.0000E+00
 283.00     1.00       297.24     99137.66     283.00    57.70       0.0000E+00
 284.00     1.00       297.23     99126.27     284.00    57.73       0.0000E+00
 285.00     1.00       297.22     99114.88     285.00    57.76       0.0000E+00
 286.00     1.00       297.21     99103.48     286.00    57.79       0.0000E+00
 287.00     1.00       297.20     99092.09     287.00    57.81       0.0000E+00
 288.00     1.00       297.19     99080.70     288.00    57.84       0.0000E+00
 289.00     1.00       297.18     99069.31     289.00    57.87       0.0000E+00
 290.00     1.00       297.17     99057.92     290.00    57.89       0.0000E+00
 291.00     1.00       297.16     99046.54     291.00    57.92       0.0000E+00
 292.00     1.00       297.15     99035.15     292.00    57.95       0.0000E+00
 293.00     1.00       297.14     99023.76     293.00    57.98       0.0000E+00
 294.00     1.00       297.13     99012.38     294.00    58.00       0.0000E+00
 295.00     1.00       297.12     99000.99     295.00    58.03       0.0000E+00
 296.00     1.00       297.11     98989.61     296.00    58.06       0.0000E+00
 297.00     1.00       297.10     98978.23     297.00    58.09       0.0000E+00
 298.00     1.00       297.09     98966.85     298.00    58.11       0.0000E+00
 299.00     1.00       297.08     98955.47     299.00    58.14       0.0000E+00
 300.00     1.00       297.07     98944.09     300.00    58.17       0.0000E+00
 301.00     1.00       297.06     98932.71     301.00    58.20       0.0000E+00
 302.00     1.00       297.05     98921.33     302.00    58.22       0.0000E+00
 303.00     1.00       297.04     98909.96     303.00    58.25       0.0000E+00
 304.00     1.00       297.03     98898.58     304.00    58.28       0.0000E+00
 305.00     1.00       297.02     98887.21     305.00    58.31       0.0000E+00
 306.00     1.00       297.01     98875.83     306.00    58.33       0.0000E+00
 307.00     1.00       297.00     98864.46     307.00    58.36       0.0000E+00
 308.00     1.00       296.99     98853.09     308.00    58.39       0.0000E+00
 309.00     1.00       296.98     98841.72     309.00    58.42       0.0000E+00
 310.00     1.00       296.98     98830.35     310.00    58.44       0.0000E+00
 311.00     1.00       296.97     98818.98     311.00    58.47       0.0000E+00
 312.00     1.00       296.96     98807.61     312.00    58.50       0.0000E+00
 313.00     1.00       296.95     98796.24     313.00    58.53       0.0000E+00
 314.00     1.00       296.94     98784.88     314.00    58.55       0.0000E+00
 315.00     1.00       296.93     98773.51     315.00    58.58       0.0000E+00
 316.00     1.00       296.92     98762.15     316.00    58.61       0.0000E+00
 317.00     1.00       296.91     98750.78     317.00    58.64       0.0000E+00
 318.00     1.00       296.90     98739.42     318.00    58.67       0.0000E+00
 319.00     1.00       296.89     98728.06     319.00    58.69       0.0000E+00
 320.00     1.00       296.88     98716.70     320.00    58.72       0.0000E+00
 321.00     1.00       296.87     98705.34     321.00    58.75       0.0000E+00
 322.00     1.00       296.86     98693.98     322.00    58.78       0.0000E+00
 323.00     1.00       296.85     98682.62     323.00    58.80       0.0000E+00
 324.00     1.00       296.84     98671.27     324.00    58.83       0.0000E+00
 325.00     1.00       296.83     98659.91     325.00    58.86       0.0000E+00
 326.00     1.00       296.82     98648.56     326.00    58.89       0.0000E+00
 327.00     1.00       296.81     98637.20     327.00    58.92       0.0000E+00
 328.00     1.00       296.80     98625.85     328.00    58.94       0.0000E+00
 329.00     1.00       296.79     98614.50     329.00    58.97       0.0000E+00
 330.00     1.00       296.78     98603.15     330.00    59.00       0.0000E+00
 331.00     1.00       296.77     98591.80     331.00    59.03       0.0000E+00
 332.00     1.00       296.76     98580.45     332.00    59.06       0.0000E+00
 333.00     1.00       296.75     98569.10     333.00    59.08       0.0000E+00
 334.00     1.00       296.74     98557.75     334.00    59.11       0.0000E+00
 335.00     1.00       296.73     98546.40     335.00    59.14       0.0000E+00
 336.00     1.00       296.72     98535.06     336.00    59.17       0.0000E+00
 337.00     1.00       296.71     98523.71     337.00    59.20       0.0000E+00
 338.00     1.00       296.70     98512.37     338.00    59.22       0.0000E+00
 339.00     1.00       296.69     98501.03     339.00    59.25       0.0000E+00
 340.00     1.00       296.68     98489.68     340.00    59.28       0.0000E+00
 341.00     1.00       296.67     98478.34     341.00    59.31       0.0000E+00
 342.00     1.00       296.66     98467.00     342.00    59.34       0.0000E+00
 343.00     1.00       296.65     98455.66     343.00    59.36       0.0000E+00
 344.00     1.00       296.64     98444.33     344.00    59.39       0.0000E+00
 345.00     1.00       296.63     98432.99     345.00    59.42       0.0000E+00
 346.00     1.00       296.62     98421.65     346.00    59.45       0.0000E+00
 347.00     1.00       296.61     98410.32     347.00    59.48       0.0000E+00
 348.00     1.00       296.60     98398.98     348.00    59.50       0.0000E+00
 349.00     1.00       296.59     98387.65     349.00    59.53       0.0000E+00
 350.00     1.00       296.58     98376.32     350.00    59.56       0.0000E+00
 351.00     1.00       296.57     98364.99     351.00    59.59       0.0000E+00
 352.00     1.00       296.57     98353.65     352.00    59.62       0.0000E+00
 353.00     1.00       296.56     98342.32     353.00    59.65       0.0000E+00
 354.00     1.00       296.55     98331.00     354.00    59.67       0.0000E+00
 355.00     1.00       296.54     98319.67     355.00    59.70       0.0000E+00
 356.00     1.00       296.53     98308.34     356.00    59.73       0.0000E+00
 357.00     1.00       296.52     98297.02     357.00    59.76       0.0000E+00
 358.00     1.00       296.51     98285.69     358.00    59.79       0.0000E+00
 359.00     1.00       296.50     98274.37     359.00    59.82       0.0000E+00
 360.00     1.00       296.49     98263.04     360.00    59.84       0.0000E+00
 361.00     1.00       296.48     98251.72     361.00    59.87       0.0000E+00
 362.00     1.00       296.47     98240.40     362.00    59.90       0.0000E+00
 363.00     1.00       296.46     98229.08     363.00    59.93       0.0000E+00
 364.00     1.00       296.45     98217.76     364.00    59.96       0.0000E+00
 365.00     1.00       296.44     98206.44     365.00    59.99       0.0000E+00
 366.00     1.00       296.43     98195.12     366.00    60.01       0.0000E+00
 367.00     1.00       296.42     98183.81     367.00    60.04       0.0000E+00
 368.00     1.00       296.41     98172.49     368.00    60.07       0.0000E+00
 369.00     1.00       296.40     98161.18     369.00    60.10       0.0000E+00
 370.00     1.00       296.39     98149.86     370.00    60.13       0.0000E+00
 371.00     1.00       296.38     98138.55     371.00    60.16       0.0000E+00
 372.00     1.00       296.37     98127.24     372.00    60.19       0.0000E+00
 373.00     1.00       296.36     98115.93     373.00    60.21       0.0000E+00
 374.00     1.00       296.35     98104.62     374.00    60.24       0.0000E+00
 375.00     1.00       296.34     98093.31     375.00    60.27       0.0000E+00
 376.00     1.00       296.33     98082.00     376.00    60.30       0.0000E+00
 377.00     1.00       296.32     98070.69     377.00    60.33       0.0000E+00
 378.00     1.00       296.31     98059.38     378.00    60.36       0.0000E+00
 379.00     1.00       296.30     98048.08     379.00    60.39       0.0000E+00
 380.00     1.00       296.29     98036.77     380.00    60.41       0.0000E+00
 381.00     1.00       296.28     98025.47     381.00    60.44       0.0000E+00
 382.00     1.00       296.27     98014.17     382.00    60.47       0.0000E+00
 383.00     1.00       296.26     98002.87     383.00    60.50       0.0000E+00
 384.00     1.00       296.25     97991.56     384.00    60.53       0.0000E+00
 385.00     1.00       296.24     97980.26     385.00    60.56       0.0000E+00
 386.00     1.00       296.23     97968.97     386.00    60.59       0.0000E+00
 387.00     1.00       296.22     97957.67     387.00    60.62       0.0000E+00
 388.00     1.00       296.21     97946.37     388.00    60.65       0.0000E+00
 389.00     1.00       296.20     97935.07     389.00    60.67       0.0000E+00
 390.00     1.00       296.19     97923.78     390.00    60.70       0.0000E+00
 391.00     1.00       296.18     97912.48     391.00    60.73       0.0000E+00
 392.00     1.00       296.17     97901.19     392.00    60.76       0.0000E+00
 393.00     1.00       296.17     97889.90     393.00    60.79       0.0000E+00
 394.00     1.00       296.16     97878.61     394.00    60.82       0.0000E+00
 395.00     1.00       296.15     97867.32     395.00    60.85       0.0000E+00
 396.00     1.00       296.14     97856.03     396.00    60.88       0.0000E+00
 397.00     1.00       296.13     97844.74     397.00    60.91       0.0000E+00
 398.00     1.00       296.12     97833.45     398.00    60.93       0.0000E+00
 399.00     1.00       296.11     97822.16     399.00    60.96       0.0000E+00
 400.00     1.00       296.10     97810.88     400.00    60.99       0.0000E+00
 401.00     1.00       296.09     97799.59     401.00    61.02       0.0000E+00
 402.00     1.00       296.08     97788.31     402.00    61.05       0.0000E+00
 403.00     1.00       296.07     97777.02     403.00    61.08       0.0000E+00
 404.00     1.00       296.06     97765.74     404.00    61.11       0.0000E+00
 405.00     1.00       296.05     97754.46     405.00    61.14       0.0000E+00
 406.00     1.00       296.04     97743.18     406.00    61.17       0.0000E+00
 407.00     1.00       296.03     97731.90     407.00    61.20       0.0000E+00
 408.00     1.00       296.02     97720.62     408.00    61.23       0.0000E+00
 409.00     1.00       296.01     97709.34     409.00    61.25       0.0000E+00
 410.00     1.00       296.00     97698.07     410.00    61.28       0.0000E+00
