Time(s)   w(m/s)         T(K)        p(Pa)       z(m)    RH(%)  Activated Drops, q
   1.00     1.00       299.99    102388.34       1.00    49.27     0.0000E+00     0.010930
   2.00     1.00       299.98    102376.68       2.00    49.30     0.0000E+00     0.010930
   3.00     1.00       299.97    102365.02       3.00    49.32     0.0000E+00     0.010930
   4.00     1.00       299.96    102353.36       4.00    49.35     0.0000E+00     0.010930
   5.00     1.00       299.95    102341.71       5.00    49.37     0.0000E+00     0.010930
   6.00     1.00       299.94    102330.05       6.00    49.39     0.0000E+00     0.010930
   7.00     1.00       299.93    102318.39       7.00    49.42     0.0000E+00     0.010930
   8.00     1.00       299.92    102306.74       8.00    49.44     0.0000E+00     0.010930
   9.00     1.00       299.91    102295.09       9.00    49.46     0.0000E+00     0.010930
  10.00     1.00       299.90    102283.43      10.00    49.49     0.0000E+00     0.010930
  11.00     1.00       299.89    102271.78      11.00    49.51     0.0000E+00     0.010930
  12.00     1.00       299.88    102260.13      12.00    49.53     0.0000E+00     0.010930
  13.00     1.00       299.87    102248.48      13.00    49.56     0.0000E+00     0.010930
  14.00     1.00       299.86    102236.83      14.00    49.58     0.0000E+00     0.010930
  15.00     1.00       299.85    102225.19      15.00    49.60     0.0000E+00     0.010930
  16.00     1.00       299.84    102213.54      16.00    49.63     0.0000E+00     0.010930
  17.00     1.00       299.83    102201.89      17.00    49.65     0.0000E+00     0.010930
  18.00     1.00       299.82    102190.25      18.00    49.68     0.0000E+00     0.010930
  19.00     1.00       299.81    102178.61      19.00    49.70     0.0000E+00     0.010930
  20.00     1.00       299.80    102166.96      20.00    49.72     0.0000E+00     0.010930
  21.00     1.00       299.80    102155.32      21.00    49.75     0.0000E+00     0.010930
  22.00     1.00       299.79    102143.68      22.00    49.77     0.0000E+00     0.010930
  23.00     1.00       299.78    102132.04      23.00    49.79     0.0000E+00     0.010930
  24.00     1.00       299.77    102120.40      24.00    49.82     0.0000E+00     0.010930
  25.00     1.00       299.76    102108.76      25.00    49.84     0.0000E+00     0.010930
  26.00     1.00       299.75    102097.13      26.00    49.87     0.0000E+00     0.010930
  27.00     1.00       299.74    102085.49      27.00    49.89     0.0000E+00     0.010930
  28.00     1.00       299.73    102073.85      28.00    49.91     0.0000E+00     0.010930
  29.00     1.00       299.72    102062.22      29.00    49.94     0.0000E+00     0.010930
  30.00     1.00       299.71    102050.59      30.00    49.96     0.0000E+00     0.010930
  31.00     1.00       299.70    102038.95      31.00    49.98     0.0000E+00     0.010930
  32.00     1.00       299.69    102027.32      32.00    50.01     0.0000E+00     0.010930
  33.00     1.00       299.68    102015.69      33.00    50.03     0.0000E+00     0.010930
  34.00     1.00       299.67    102004.06      34.00    50.06     0.0000E+00     0.010930
  35.00     1.00       299.66    101992.43      35.00    50.08     0.0000E+00     0.010930
  36.00     1.00       299.65    101980.81      36.00    50.10     0.0000E+00     0.010930
  37.00     1.00       299.64    101969.18      37.00    50.13     0.0000E+00     0.010930
  38.00     1.00       299.63    101957.55      38.00    50.15     0.0000E+00     0.010930
  39.00     1.00       299.62    101945.93      39.00    50.18     0.0000E+00     0.010930
  40.00     1.00       299.61    101934.31      40.00    50.20     0.0000E+00     0.010930
  41.00     1.00       299.60    101922.68      41.00    50.22     0.0000E+00     0.010930
  42.00     1.00       299.59    101911.06      42.00    50.25     0.0000E+00     0.010930
  43.00     1.00       299.58    101899.44      43.00    50.27     0.0000E+00     0.010930
  44.00     1.00       299.57    101887.82      44.00    50.30     0.0000E+00     0.010930
  45.00     1.00       299.56    101876.20      45.00    50.32     0.0000E+00     0.010930
  46.00     1.00       299.55    101864.58      46.00    50.34     0.0000E+00     0.010930
  47.00     1.00       299.54    101852.97      47.00    50.37     0.0000E+00     0.010930
  48.00     1.00       299.53    101841.35      48.00    50.39     0.0000E+00     0.010930
  49.00     1.00       299.52    101829.73      49.00    50.42     0.0000E+00     0.010930
  50.00     1.00       299.51    101818.12      50.00    50.44     0.0000E+00     0.010930
  51.00     1.00       299.50    101806.51      51.00    50.46     0.0000E+00     0.010930
  52.00     1.00       299.49    101794.89      52.00    50.49     0.0000E+00     0.010930
  53.00     1.00       299.48    101783.28      53.00    50.51     0.0000E+00     0.010930
  54.00     1.00       299.47    101771.67      54.00    50.54     0.0000E+00     0.010930
  55.00     1.00       299.46    101760.06      55.00    50.56     0.0000E+00     0.010930
  56.00     1.00       299.45    101748.45      56.00    50.59     0.0000E+00     0.010930
  57.00     1.00       299.44    101736.84      57.00    50.61     0.0000E+00     0.010930
  58.00     1.00       299.43    101725.24      58.00    50.63     0.0000E+00     0.010930
  59.00     1.00       299.42    101713.63      59.00    50.66     0.0000E+00     0.010930
  60.00     1.00       299.41    101702.03      60.00    50.68     0.0000E+00     0.010930
  61.00     1.00       299.40    101690.42      61.00    50.71     0.0000E+00     0.010930
  62.00     1.00       299.40    101678.82      62.00    50.73     0.0000E+00     0.010930
  63.00     1.00       299.39    101667.22      63.00    50.75     0.0000E+00     0.010930
  64.00     1.00       299.38    101655.62      64.00    50.78     0.0000E+00     0.010930
  65.00     1.00       299.37    101644.02      65.00    50.80     0.0000E+00     0.010930
  66.00     1.00       299.36    101632.42      66.00    50.83     0.0000E+00     0.010930
  67.00     1.00       299.35    101620.82      67.00    50.85     0.0000E+00     0.010930
  68.00     1.00       299.34    101609.22      68.00    50.88     0.0000E+00     0.010930
  69.00     1.00       299.33    101597.63      69.00    50.90     0.0000E+00     0.010930
  70.00     1.00       299.32    101586.03      70.00    50.93     0.0000E+00     0.010930
  71.00     1.00       299.31    101574.44      71.00    50.95     0.0000E+00     0.010930
  72.00     1.00       299.30    101562.84      72.00    50.97     0.0000E+00     0.010930
  73.00     1.00       299.29    101551.25      73.00    51.00     0.0000E+00     0.010930
  74.00     1.00       299.28    101539.66      74.00    51.02     0.0000E+00     0.010930
  75.00     1.00       299.27    101528.07      75.00    51.05     0.0000E+00     0.010930
  76.00     1.00       299.26    101516.48      76.00    51.07     0.0000E+00     0.010930
  77.00     1.00       299.25    101504.89      77.00    51.10     0.0000E+00     0.010930
  78.00     1.00       299.24    101493.30      78.00    51.12     0.0000E+00     0.010930
  79.00     1.00       299.23    101481.71      79.00    51.15     0.0000E+00     0.010930
  80.00     1.00       299.22    101470.13      80.00    51.17     0.0000E+00     0.010930
  81.00     1.00       299.21    101458.54      81.00    51.19     0.0000E+00     0.010930
  82.00     1.00       299.20    101446.96      82.00    51.22     0.0000E+00     0.010930
  83.00     1.00       299.19    101435.37      83.00    51.24     0.0000E+00     0.010930
  84.00     1.00       299.18    101423.79      84.00    51.27     0.0000E+00     0.010930
  85.00     1.00       299.17    101412.21      85.00    51.29     0.0000E+00     0.010930
  86.00     1.00       299.16    101400.63      86.00    51.32     0.0000E+00     0.010930
  87.00     1.00       299.15    101389.05      87.00    51.34     0.0000E+00     0.010930
  88.00     1.00       299.14    101377.47      88.00    51.37     0.0000E+00     0.010930
  89.00     1.00       299.13    101365.90      89.00    51.39     0.0000E+00     0.010930
  90.00     1.00       299.12    101354.32      90.00    51.42     0.0000E+00     0.010930
  91.00     1.00       299.11    101342.74      91.00    51.44     0.0000E+00     0.010930
  92.00     1.00       299.10    101331.17      92.00    51.46     0.0000E+00     0.010930
  93.00     1.00       299.09    101319.59      93.00    51.49     0.0000E+00     0.010930
  94.00     1.00       299.08    101308.02      94.00    51.51     0.0000E+00     0.010930
  95.00     1.00       299.07    101296.45      95.00    51.54     0.0000E+00     0.010930
  96.00     1.00       299.06    101284.88      96.00    51.56     0.0000E+00     0.010930
  97.00     1.00       299.05    101273.31      97.00    51.59     0.0000E+00     0.010930
  98.00     1.00       299.04    101261.74      98.00    51.61     0.0000E+00     0.010930
  99.00     1.00       299.03    101250.17      99.00    51.64     0.0000E+00     0.010930
 100.00     1.00       299.02    101238.60     100.00    51.66     0.0000E+00     0.010930
 101.00     1.00       299.01    101227.04     101.00    51.69     0.0000E+00     0.010930
 102.00     1.00       299.00    101215.47     102.00    51.71     0.0000E+00     0.010930
 103.00     1.00       298.99    101203.91     103.00    51.74     0.0000E+00     0.010930
 104.00     1.00       298.99    101192.35     104.00    51.76     0.0000E+00     0.010930
 105.00     1.00       298.98    101180.78     105.00    51.79     0.0000E+00     0.010930
 106.00     1.00       298.97    101169.22     106.00    51.81     0.0000E+00     0.010930
 107.00     1.00       298.96    101157.66     107.00    51.84     0.0000E+00     0.010930
 108.00     1.00       298.95    101146.10     108.00    51.86     0.0000E+00     0.010930
 109.00     1.00       298.94    101134.54     109.00    51.89     0.0000E+00     0.010930
 110.00     1.00       298.93    101122.98     110.00    51.91     0.0000E+00     0.010930
 111.00     1.00       298.92    101111.43     111.00    51.94     0.0000E+00     0.010930
 112.00     1.00       298.91    101099.87     112.00    51.96     0.0000E+00     0.010930
 113.00     1.00       298.90    101088.32     113.00    51.99     0.0000E+00     0.010930
 114.00     1.00       298.89    101076.76     114.00    52.01     0.0000E+00     0.010930
 115.00     1.00       298.88    101065.21     115.00    52.04     0.0000E+00     0.010930
 116.00     1.00       298.87    101053.66     116.00    52.06     0.0000E+00     0.010930
 117.00     1.00       298.86    101042.11     117.00    52.09     0.0000E+00     0.010930
 118.00     1.00       298.85    101030.56     118.00    52.11     0.0000E+00     0.010930
 119.00     1.00       298.84    101019.01     119.00    52.14     0.0000E+00     0.010930
 120.00     1.00       298.83    101007.46     120.00    52.16     0.0000E+00     0.010930
 121.00     1.00       298.82    100995.91     121.00    52.19     0.0000E+00     0.010930
 122.00     1.00       298.81    100984.37     122.00    52.21     0.0000E+00     0.010930
 123.00     1.00       298.80    100972.82     123.00    52.24     0.0000E+00     0.010930
 124.00     1.00       298.79    100961.28     124.00    52.26     0.0000E+00     0.010930
 125.00     1.00       298.78    100949.73     125.00    52.29     0.0000E+00     0.010930
 126.00     1.00       298.77    100938.19     126.00    52.31     0.0000E+00     0.010930
 127.00     1.00       298.76    100926.65     127.00    52.34     0.0000E+00     0.010930
 128.00     1.00       298.75    100915.11     128.00    52.36     0.0000E+00     0.010930
 129.00     1.00       298.74    100903.57     129.00    52.39     0.0000E+00     0.010930
 130.00     1.00       298.73    100892.03     130.00    52.41     0.0000E+00     0.010930
 131.00     1.00       298.72    100880.49     131.00    52.44     0.0000E+00     0.010930
 132.00     1.00       298.71    100868.95     132.00    52.46     0.0000E+00     0.010930
 133.00     1.00       298.70    100857.42     133.00    52.49     0.0000E+00     0.010930
 134.00     1.00       298.69    100845.88     134.00    52.51     0.0000E+00     0.010930
 135.00     1.00       298.68    100834.35     135.00    52.54     0.0000E+00     0.010930
 136.00     1.00       298.67    100822.82     136.00    52.56     0.0000E+00     0.010930
 137.00     1.00       298.66    100811.28     137.00    52.59     0.0000E+00     0.010930
 138.00     1.00       298.65    100799.75     138.00    52.61     0.0000E+00     0.010930
 139.00     1.00       298.64    100788.22     139.00    52.64     0.0000E+00     0.010930
 140.00     1.00       298.63    100776.69     140.00    52.66     0.0000E+00     0.010930
 141.00     1.00       298.62    100765.16     141.00    52.69     0.0000E+00     0.010930
 142.00     1.00       298.61    100753.64     142.00    52.71     0.0000E+00     0.010930
 143.00     1.00       298.60    100742.11     143.00    52.74     0.0000E+00     0.010930
 144.00     1.00       298.59    100730.58     144.00    52.77     0.0000E+00     0.010930
 145.00     1.00       298.59    100719.06     145.00    52.79     0.0000E+00     0.010930
 146.00     1.00       298.58    100707.54     146.00    52.82     0.0000E+00     0.010930
 147.00     1.00       298.57    100696.01     147.00    52.84     0.0000E+00     0.010930
 148.00     1.00       298.56    100684.49     148.00    52.87     0.0000E+00     0.010930
 149.00     1.00       298.55    100672.97     149.00    52.89     0.0000E+00     0.010930
 150.00     1.00       298.54    100661.45     150.00    52.92     0.0000E+00     0.010930
 151.00     1.00       298.53    100649.93     151.00    52.94     0.0000E+00     0.010930
 152.00     1.00       298.52    100638.41     152.00    52.97     0.0000E+00     0.010930
 153.00     1.00       298.51    100626.90     153.00    52.99     0.0000E+00     0.010930
 154.00     1.00       298.50    100615.38     154.00    53.02     0.0000E+00     0.010930
 155.00     1.00       298.49    100603.86     155.00    53.05     0.0000E+00     0.010930
 156.00     1.00       298.48    100592.35     156.00    53.07     0.0000E+00     0.010930
 157.00     1.00       298.47    100580.84     157.00    53.10     0.0000E+00     0.010930
 158.00     1.00       298.46    100569.32     158.00    53.12     0.0000E+00     0.010930
 159.00     1.00       298.45    100557.81     159.00    53.15     0.0000E+00     0.010930
 160.00     1.00       298.44    100546.30     160.00    53.17     0.0000E+00     0.010930
 161.00     1.00       298.43    100534.79     161.00    53.20     0.0000E+00     0.010930
 162.00     1.00       298.42    100523.28     162.00    53.22     0.0000E+00     0.010930
 163.00     1.00       298.41    100511.78     163.00    53.25     0.0000E+00     0.010930
 164.00     1.00       298.40    100500.27     164.00    53.28     0.0000E+00     0.010930
 165.00     1.00       298.39    100488.76     165.00    53.30     0.0000E+00     0.010930
 166.00     1.00       298.38    100477.26     166.00    53.33     0.0000E+00     0.010930
 167.00     1.00       298.37    100465.75     167.00    53.35     0.0000E+00     0.010930
 168.00     1.00       298.36    100454.25     168.00    53.38     0.0000E+00     0.010930
 169.00     1.00       298.35    100442.75     169.00    53.40     0.0000E+00     0.010930
 170.00     1.00       298.34    100431.25     170.00    53.43     0.0000E+00     0.010930
 171.00     1.00       298.33    100419.75     171.00    53.46     0.0000E+00     0.010930
 172.00     1.00       298.32    100408.25     172.00    53.48     0.0000E+00     0.010930
 173.00     1.00       298.31    100396.75     173.00    53.51     0.0000E+00     0.010930
 174.00     1.00       298.30    100385.25     174.00    53.53     0.0000E+00     0.010930
 175.00     1.00       298.29    100373.76     175.00    53.56     0.0000E+00     0.010930
 176.00     1.00       298.28    100362.26     176.00    53.58     0.0000E+00     0.010930
 177.00     1.00       298.27    100350.77     177.00    53.61     0.0000E+00     0.010930
 178.00     1.00       298.26    100339.27     178.00    53.64     0.0000E+00     0.010930
 179.00     1.00       298.25    100327.78     179.00    53.66     0.0000E+00     0.010930
 180.00     1.00       298.24    100316.29     180.00    53.69     0.0000E+00     0.010930
 181.00     1.00       298.23    100304.80     181.00    53.71     0.0000E+00     0.010930
 182.00     1.00       298.22    100293.31     182.00    53.74     0.0000E+00     0.010930
 183.00     1.00       298.21    100281.82     183.00    53.77     0.0000E+00     0.010930
 184.00     1.00       298.20    100270.33     184.00    53.79     0.0000E+00     0.010930
 185.00     1.00       298.19    100258.84     185.00    53.82     0.0000E+00     0.010930
 186.00     1.00       298.19    100247.36     186.00    53.84     0.0000E+00     0.010930
 187.00     1.00       298.18    100235.87     187.00    53.87     0.0000E+00     0.010930
 188.00     1.00       298.17    100224.39     188.00    53.90     0.0000E+00     0.010930
 189.00     1.00       298.16    100212.90     189.00    53.92     0.0000E+00     0.010930
 190.00     1.00       298.15    100201.42     190.00    53.95     0.0000E+00     0.010930
 191.00     1.00       298.14    100189.94     191.00    53.97     0.0000E+00     0.010930
 192.00     1.00       298.13    100178.46     192.00    54.00     0.0000E+00     0.010930
 193.00     1.00       298.12    100166.98     193.00    54.03     0.0000E+00     0.010930
 194.00     1.00       298.11    100155.50     194.00    54.05     0.0000E+00     0.010930
 195.00     1.00       298.10    100144.02     195.00    54.08     0.0000E+00     0.010930
 196.00     1.00       298.09    100132.55     196.00    54.10     0.0000E+00     0.010930
 197.00     1.00       298.08    100121.07     197.00    54.13     0.0000E+00     0.010930
 198.00     1.00       298.07    100109.60     198.00    54.16     0.0000E+00     0.010930
 199.00     1.00       298.06    100098.12     199.00    54.18     0.0000E+00     0.010930
 200.00     1.00       298.05    100086.65     200.00    54.21     0.0000E+00     0.010930
 201.00     1.00       298.04    100075.18     201.00    54.24     0.0000E+00     0.010930
 202.00     1.00       298.03    100063.71     202.00    54.26     0.0000E+00     0.010930
 203.00     1.00       298.02    100052.24     203.00    54.29     0.0000E+00     0.010930
 204.00     1.00       298.01    100040.77     204.00    54.31     0.0000E+00     0.010930
 205.00     1.00       298.00    100029.30     205.00    54.34     0.0000E+00     0.010930
 206.00     1.00       297.99    100017.83     206.00    54.37     0.0000E+00     0.010930
 207.00     1.00       297.98    100006.37     207.00    54.39     0.0000E+00     0.010930
 208.00     1.00       297.97     99994.90     208.00    54.42     0.0000E+00     0.010930
 209.00     1.00       297.96     99983.44     209.00    54.44     0.0000E+00     0.010930
 210.00     1.00       297.95     99971.97     210.00    54.47     0.0000E+00     0.010930
 211.00     1.00       297.94     99960.51     211.00    54.50     0.0000E+00     0.010930
 212.00     1.00       297.93     99949.05     212.00    54.52     0.0000E+00     0.010930
 213.00     1.00       297.92     99937.59     213.00    54.55     0.0000E+00     0.010930
 214.00     1.00       297.91     99926.13     214.00    54.58     0.0000E+00     0.010930
 215.00     1.00       297.90     99914.67     215.00    54.60     0.0000E+00     0.010930
 216.00     1.00       297.89     99903.21     216.00    54.63     0.0000E+00     0.010930
 217.00     1.00       297.88     99891.75     217.00    54.66     0.0000E+00     0.010930
 218.00     1.00       297.87     99880.30     218.00    54.68     0.0000E+00     0.010930
 219.00     1.00       297.86     99868.84     219.00    54.71     0.0000E+00     0.010930
 220.00     1.00       297.85     99857.39     220.00    54.74     0.0000E+00     0.010930
 221.00     1.00       297.84     99845.93     221.00    54.76     0.0000E+00     0.010930
 222.00     1.00       297.83     99834.48     222.00    54.79     0.0000E+00     0.010930
 223.00     1.00       297.82     99823.03     223.00    54.81     0.0000E+00     0.010930
 224.00     1.00       297.81     99811.58     224.00    54.84     0.0000E+00     0.010930
 225.00     1.00       297.80     99800.13     225.00    54.87     0.0000E+00     0.010930
 226.00     1.00       297.79     99788.68     226.00    54.89     0.0000E+00     0.010930
 227.00     1.00       297.78     99777.23     227.00    54.92     0.0000E+00     0.010930
 228.00     1.00       297.78     99765.79     228.00    54.95     0.0000E+00     0.010930
 229.00     1.00       297.77     99754.34     229.00    54.97     0.0000E+00     0.010930
 230.00     1.00       297.76     99742.90     230.00    55.00     0.0000E+00     0.010930
 231.00     1.00       297.75     99731.45     231.00    55.03     0.0000E+00     0.010930
 232.00     1.00       297.74     99720.01     232.00    55.05     0.0000E+00     0.010930
 233.00     1.00       297.73     99708.57     233.00    55.08     0.0000E+00     0.010930
 234.00     1.00       297.72     99697.13     234.00    55.11     0.0000E+00     0.010930
 235.00     1.00       297.71     99685.69     235.00    55.13     0.0000E+00     0.010930
 236.00     1.00       297.70     99674.25     236.00    55.16     0.0000E+00     0.010930
 237.00     1.00       297.69     99662.81     237.00    55.19     0.0000E+00     0.010930
 238.00     1.00       297.68     99651.37     238.00    55.21     0.0000E+00     0.010930
 239.00     1.00       297.67     99639.94     239.00    55.24     0.0000E+00     0.010930
 240.00     1.00       297.66     99628.50     240.00    55.27     0.0000E+00     0.010930
 241.00     1.00       297.65     99617.07     241.00    55.29     0.0000E+00     0.010930
 242.00     1.00       297.64     99605.63     242.00    55.32     0.0000E+00     0.010930
 243.00     1.00       297.63     99594.20     243.00    55.35     0.0000E+00     0.010930
 244.00     1.00       297.62     99582.77     244.00    55.37     0.0000E+00     0.010930
 245.00     1.00       297.61     99571.34     245.00    55.40     0.0000E+00     0.010930
 246.00     1.00       297.60     99559.91     246.00    55.43     0.0000E+00     0.010930
 247.00     1.00       297.59     99548.48     247.00    55.45     0.0000E+00     0.010930
 248.00     1.00       297.58     99537.05     248.00    55.48     0.0000E+00     0.010930
 249.00     1.00       297.57     99525.62     249.00    55.51     0.0000E+00     0.010930
 250.00     1.00       297.56     99514.20     250.00    55.54     0.0000E+00     0.010930
 251.00     1.00       297.55     99502.77     251.00    55.56     0.0000E+00     0.010930
 252.00     1.00       297.54     99491.35     252.00    55.59     0.0000E+00     0.010930
 253.00     1.00       297.53     99479.93     253.00    55.62     0.0000E+00     0.010930
 254.00     1.00       297.52     99468.50     254.00    55.64     0.0000E+00     0.010930
 255.00     1.00       297.51     99457.08     255.00    55.67     0.0000E+00     0.010930
 256.00     1.00       297.50     99445.66     256.00    55.70     0.0000E+00     0.010930
 257.00     1.00       297.49     99434.24     257.00    55.72     0.0000E+00     0.010930
 258.00     1.00       297.48     99422.82     258.00    55.75     0.0000E+00     0.010930
 259.00     1.00       297.47     99411.41     259.00    55.78     0.0000E+00     0.010930
 260.00     1.00       297.46     99399.99     260.00    55.81     0.0000E+00     0.010930
 261.00     1.00       297.45     99388.57     261.00    55.83     0.0000E+00     0.010930
 262.00     1.00       297.44     99377.16     262.00    55.86     0.0000E+00     0.010930
 263.00     1.00       297.43     99365.74     263.00    55.89     0.0000E+00     0.010930
 264.00     1.00       297.42     99354.33     264.00    55.91     0.0000E+00     0.010930
 265.00     1.00       297.41     99342.92     265.00    55.94     0.0000E+00     0.010930
 266.00     1.00       297.40     99331.51     266.00    55.97     0.0000E+00     0.010930
 267.00     1.00       297.39     99320.10     267.00    55.99     0.0000E+00     0.010930
 268.00     1.00       297.38     99308.69     268.00    56.02     0.0000E+00     0.010930
 269.00     1.00       297.38     99297.28     269.00    56.05     0.0000E+00     0.010930
 270.00     1.00       297.37     99285.87     270.00    56.08     0.0000E+00     0.010930
 271.00     1.00       297.36     99274.47     271.00    56.10     0.0000E+00     0.010930
 272.00     1.00       297.35     99263.06     272.00    56.13     0.0000E+00     0.010930
 273.00     1.00       297.34     99251.66     273.00    56.16     0.0000E+00     0.010930
 274.00     1.00       297.33     99240.25     274.00    56.19     0.0000E+00     0.010930
 275.00     1.00       297.32     99228.85     275.00    56.21     0.0000E+00     0.010930
 276.00     1.00       297.31     99217.45     276.00    56.24     0.0000E+00     0.010930
 277.00     1.00       297.30     99206.05     277.00    56.27     0.0000E+00     0.010930
 278.00     1.00       297.29     99194.65     278.00    56.29     0.0000E+00     0.010930
 279.00     1.00       297.28     99183.25     279.00    56.32     0.0000E+00     0.010930
 280.00     1.00       297.27     99171.85     280.00    56.35     0.0000E+00     0.010930
 281.00     1.00       297.26     99160.45     281.00    56.38     0.0000E+00     0.010930
 282.00     1.00       297.25     99149.06     282.00    56.40     0.0000E+00     0.010930
 283.00     1.00       297.24     99137.66     283.00    56.43     0.0000E+00     0.010930
 284.00     1.00       297.23     99126.27     284.00    56.46     0.0000E+00     0.010930
 285.00     1.00       297.22     99114.88     285.00    56.49     0.0000E+00     0.010930
 286.00     1.00       297.21     99103.48     286.00    56.51     0.0000E+00     0.010930
 287.00     1.00       297.20     99092.09     287.00    56.54     0.0000E+00     0.010930
 288.00     1.00       297.19     99080.70     288.00    56.57     0.0000E+00     0.010930
 289.00     1.00       297.18     99069.31     289.00    56.60     0.0000E+00     0.010930
 290.00     1.00       297.17     99057.92     290.00    56.62     0.0000E+00     0.010930
 291.00     1.00       297.16     99046.54     291.00    56.65     0.0000E+00     0.010930
 292.00     1.00       297.15     99035.15     292.00    56.68     0.0000E+00     0.010930
 293.00     1.00       297.14     99023.76     293.00    56.71     0.0000E+00     0.010930
 294.00     1.00       297.13     99012.38     294.00    56.73     0.0000E+00     0.010930
 295.00     1.00       297.12     99000.99     295.00    56.76     0.0000E+00     0.010930
 296.00     1.00       297.11     98989.61     296.00    56.79     0.0000E+00     0.010930
 297.00     1.00       297.10     98978.23     297.00    56.82     0.0000E+00     0.010930
 298.00     1.00       297.09     98966.85     298.00    56.84     0.0000E+00     0.010930
 299.00     1.00       297.08     98955.47     299.00    56.87     0.0000E+00     0.010930
 300.00     1.00       297.07     98944.09     300.00    56.90     0.0000E+00     0.010930
 301.00     1.00       297.06     98932.71     301.00    56.93     0.0000E+00     0.010930
 302.00     1.00       297.05     98921.33     302.00    56.95     0.0000E+00     0.010930
 303.00     1.00       297.04     98909.96     303.00    56.98     0.0000E+00     0.010930
 304.00     1.00       297.03     98898.58     304.00    57.01     0.0000E+00     0.010930
 305.00     1.00       297.02     98887.21     305.00    57.04     0.0000E+00     0.010930
 306.00     1.00       297.01     98875.83     306.00    57.07     0.0000E+00     0.010930
 307.00     1.00       297.00     98864.46     307.00    57.09     0.0000E+00     0.010930
 308.00     1.00       296.99     98853.09     308.00    57.12     0.0000E+00     0.010930
 309.00     1.00       296.98     98841.72     309.00    57.15     0.0000E+00     0.010930
 310.00     1.00       296.98     98830.35     310.00    57.18     0.0000E+00     0.010930
 311.00     1.00       296.97     98818.98     311.00    57.20     0.0000E+00     0.010930
 312.00     1.00       296.96     98807.61     312.00    57.23     0.0000E+00     0.010930
 313.00     1.00       296.95     98796.24     313.00    57.26     0.0000E+00     0.010930
 314.00     1.00       296.94     98784.88     314.00    57.29     0.0000E+00     0.010930
 315.00     1.00       296.93     98773.51     315.00    57.32     0.0000E+00     0.010930
 316.00     1.00       296.92     98762.15     316.00    57.34     0.0000E+00     0.010930
 317.00     1.00       296.91     98750.78     317.00    57.37     0.0000E+00     0.010930
 318.00     1.00       296.90     98739.42     318.00    57.40     0.0000E+00     0.010930
 319.00     1.00       296.89     98728.06     319.00    57.43     0.0000E+00     0.010930
 320.00     1.00       296.88     98716.70     320.00    57.46     0.0000E+00     0.010930
 321.00     1.00       296.87     98705.34     321.00    57.48     0.0000E+00     0.010930
 322.00     1.00       296.86     98693.98     322.00    57.51     0.0000E+00     0.010930
 323.00     1.00       296.85     98682.62     323.00    57.54     0.0000E+00     0.010930
 324.00     1.00       296.84     98671.27     324.00    57.57     0.0000E+00     0.010930
 325.00     1.00       296.83     98659.91     325.00    57.60     0.0000E+00     0.010930
 326.00     1.00       296.82     98648.56     326.00    57.62     0.0000E+00     0.010930
 327.00     1.00       296.81     98637.20     327.00    57.65     0.0000E+00     0.010930
 328.00     1.00       296.80     98625.85     328.00    57.68     0.0000E+00     0.010930
 329.00     1.00       296.79     98614.50     329.00    57.71     0.0000E+00     0.010930
 330.00     1.00       296.78     98603.15     330.00    57.74     0.0000E+00     0.010930
 331.00     1.00       296.77     98591.80     331.00    57.76     0.0000E+00     0.010930
 332.00     1.00       296.76     98580.45     332.00    57.79     0.0000E+00     0.010930
 333.00     1.00       296.75     98569.10     333.00    57.82     0.0000E+00     0.010930
 334.00     1.00       296.74     98557.75     334.00    57.85     0.0000E+00     0.010930
 335.00     1.00       296.73     98546.40     335.00    57.88     0.0000E+00     0.010930
 336.00     1.00       296.72     98535.06     336.00    57.90     0.0000E+00     0.010930
 337.00     1.00       296.71     98523.71     337.00    57.93     0.0000E+00     0.010930
 338.00     1.00       296.70     98512.37     338.00    57.96     0.0000E+00     0.010930
 339.00     1.00       296.69     98501.03     339.00    57.99     0.0000E+00     0.010930
 340.00     1.00       296.68     98489.68     340.00    58.02     0.0000E+00     0.010930
 341.00     1.00       296.67     98478.34     341.00    58.05     0.0000E+00     0.010930
 342.00     1.00       296.66     98467.00     342.00    58.07     0.0000E+00     0.010930
 343.00     1.00       296.65     98455.66     343.00    58.10     0.0000E+00     0.010930
 344.00     1.00       296.64     98444.33     344.00    58.13     0.0000E+00     0.010930
 345.00     1.00       296.63     98432.99     345.00    58.16     0.0000E+00     0.010930
 346.00     1.00       296.62     98421.65     346.00    58.19     0.0000E+00     0.010930
 347.00     1.00       296.61     98410.32     347.00    58.22     0.0000E+00     0.010930
 348.00     1.00       296.60     98398.98     348.00    58.24     0.0000E+00     0.010930
 349.00     1.00       296.59     98387.65     349.00    58.27     0.0000E+00     0.010930
 350.00     1.00       296.58     98376.32     350.00    58.30     0.0000E+00     0.010930
 351.00     1.00       296.57     98364.99     351.00    58.33     0.0000E+00     0.010930
 352.00     1.00       296.57     98353.65     352.00    58.36     0.0000E+00     0.010930
 353.00     1.00       296.56     98342.32     353.00    58.39     0.0000E+00     0.010930
 354.00     1.00       296.55     98331.00     354.00    58.42     0.0000E+00     0.010930
 355.00     1.00       296.54     98319.67     355.00    58.44     0.0000E+00     0.010930
 356.00     1.00       296.53     98308.34     356.00    58.47     0.0000E+00     0.010930
 357.00     1.00       296.52     98297.02     357.00    58.50     0.0000E+00     0.010930
